Time(s),CH1(V)
1.1593E+01,1.303116E-02
1.1593E+01,1.303116E-02
1.1593E+01,1.303116E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.303116E-02
1.1593E+01,1.303116E-02
1.1593E+01,1.303116E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.303116E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1593E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
